Campaign performance
"June 1, 2024 - December 5, 2024"
Campaign,Campaign state,Campaign type,Day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Mojaa Search Q4,Enabled,Search,2024-09-05,288,"2,037",14.14%,MAD,1.92,552.07,29.26%,81.72%,1.00,0,552.07,0.35%
Mojaa Search Q4,Enabled,Search,2024-09-06,273,"2,323",11.75%,MAD,2.12,578.92,27.73%,56.27%,6.00,0,96.49,2.20%
Mojaa Search Q4,Enabled,Search,2024-09-07,447,"4,594",9.73%,MAD,1.28,571.78,16.68%,40.08%,6.00,0,95.30,1.34%
Mojaa Search Q4,Enabled,Search,2024-09-08,572,"5,606",10.20%,MAD,1.00,572.98,14.57%,37.85%,7.00,0,81.85,1.22%
Mojaa Search Q4,Enabled,Search,2024-09-09,558,"5,494",10.16%,MAD,1.02,569.52,15.09%,37.10%,3.00,0,189.84,0.54%
Mojaa Search Q4,Enabled,Search,2024-09-10,493,"5,293",9.31%,MAD,1.19,585.12,16.11%,38.90%,1.00,0,585.12,0.20%
Mojaa Search Q4,Enabled,Search,2024-09-11,407,"4,756",8.56%,MAD,1.37,555.92,15.07%,36.38%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-12,299,"3,352",8.92%,MAD,1.06,316.81,15.31%,33.32%,1.00,0,316.81,0.33%
Mojaa Search Q4,Enabled,Search,2024-09-13,258,"2,424",10.64%,MAD,0.61,157.48,15.43%,25.01%,1.00,0,157.48,0.39%
Mojaa Search Q4,Enabled,Search,2024-09-14,245,"2,143",11.43%,MAD,0.45,109.05,14.53%,21.13%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-15,216,"2,088",10.34%,MAD,0.44,94.42,12.79%,17.83%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-16,174,"1,850",9.41%,MAD,0.44,77.13,11.24%,15.07%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-17,152,"1,726",8.81%,MAD,0.40,60.92,8.08%,12.28%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-18,105,"1,127",9.32%,MAD,0.30,31.46,8.22%,11.24%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-19,75,734,10.22%,MAD,0.23,17.60,8.25%,11.52%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-20,78,687,11.35%,MAD,0.22,17.17,8.85%,12.42%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-21,106,998,10.62%,MAD,0.24,25.37,11.05%,15.47%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-22,93,936,9.94%,MAD,0.25,22.88,9.59%,15.01%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-23,72,720,10.00%,MAD,0.21,14.90,7.81%,11.43%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-24,60,522,11.49%,MAD,0.25,15.04,8.40%,16.40%,0.00,0,0,0.00%
