DocEntry,DocNum,CreationDate,CardCode,CardName,DocCurrency,DocRate,NumAtCard,Reference1,Comments,JournalMemo,ItemCode,ItemDescription,ShipDate,Quantity,Price,PriceAfterVAT,Currency,WarehouseCode,Rate,BarCode,GrossPrice,GrossTotal,RRP,Article,JumiaSKU,FOC,UnitsOfMeasurment,source,foldername,filename,created_at,id
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/3-,CLASSIC LEATHER SP EXTRA,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037010,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,7433002b-7df8-4faa-8113-cd3e20ab66b3
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/3-,CLASSIC LEATHER SP EXTRA,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037010,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,fe348da2-66ab-4aaa-920b-f88d0a04539f
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/4,CLASSIC LEATHER SP EXTRA,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037041,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,dd9f0d7e-9929-4479-9bcc-cee1ad5bb2f2
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/4,CLASSIC LEATHER SP EXTRA,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037041,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,4229f80a-54ad-49a7-a2af-338b2d8804c1
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/4,CLASSIC LEATHER SP EXTRA,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037041,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,c3cf6704-0c50-44fe-b967-3a8f50090a4e
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/4-,CLASSIC LEATHER SP EXTRA,2024-09-01,3.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037072,36.5238,1086.9483,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,c3f8d0aa-6895-4659-81e6-98cb204f8232
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/4-,CLASSIC LEATHER SP EXTRA,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037072,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,f43a90fb-1747-4ffd-ad2b-b233ca29612b
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/4-,CLASSIC LEATHER SP EXTRA,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037072,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,6591f7d3-0770-4e87-9bfc-1ccc977cb750
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/5,CLASSIC LEATHER SP EXTRA,2024-09-01,6.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037102,36.5238,2173.8966,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,2a848ae0-f2ed-4b89-a277-6efcf1764850
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/5,CLASSIC LEATHER SP EXTRA,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037102,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,4a1fb138-aed5-4fc5-9cb3-d54d067a01b3
